NAME,ENDORSEMENTS,LASTLOGIN,INFLUENCENUM,URL
waffenbrightonburg,10,4.53,137.0,https://www.nationstates.net/nation=waffenbrightonburg
lady_anastasia,94,0.0,1433.0,https://www.nationstates.net/nation=lady_anastasia
aleister,63,0.0,798.0,https://www.nationstates.net/nation=aleister
wauka_mountain,34,1.1,307.0,https://www.nationstates.net/nation=wauka_mountain
syphilis,0,7.93,16.0,https://www.nationstates.net/nation=syphilis
terannical,125,0.1,2068.0,https://www.nationstates.net/nation=terannical
charles_bronson,91,0.09,1385.0,https://www.nationstates.net/nation=charles_bronson
bloomin_onion,0,3.91,17.0,https://www.nationstates.net/nation=bloomin_onion
